age,job,marital,education,default,balance,housing,loan,day,month,campaign,pdays,previous,y
50,management,married,tertiary,0,0,1,0,0,5,1,0,0,0
40,technician,single,secondary,0,0,1,0,0,5,1,0,0,0
30,entrepreneur,married,secondary,0,0,1,1,0,5,1,0,0,0
40,blue-collar,married,other,0,0,1,0,0,5,1,0,0,0
30,other,single,other,0,0,0,0,0,5,1,0,0,0
30,management,married,tertiary,0,0,1,0,0,5,1,0,0,0
20,management,single,tertiary,0,0,1,1,0,5,1,0,0,0
40,entrepreneur,divorced,tertiary,1,0,1,0,0,5,1,0,0,0
50,retired,married,primary,0,0,1,0,0,5,1,0,0,0
40,technician,single,secondary,0,0,1,0,0,5,1,0,0,0
40,admin.,divorced,secondary,0,0,1,0,0,5,1,0,0,0
20,admin.,single,secondary,0,0,1,0,0,5,1,0,0,0
50,technician,married,secondary,0,0,1,0,0,5,1,0,0,0
50,technician,married,other,0,0,1,0,0,5,1,0,0,0
50,services,married,secondary,0,0,1,0,0,5,1,0,0,0
50,retired,married,primary,0,0,1,0,0,5,1,0,0,0
40,admin.,single,other,0,0,1,0,0,5,1,0,0,0
50,blue-collar,married,primary,0,0,1,0,0,5,1,0,0,0
60,retired,married,primary,0,0,1,0,0,5,1,0,0,0
30,services,married,secondary,0,0,1,0,0,5,1,0,0,0
20,blue-collar,married,secondary,0,0,1,1,0,5,1,0,0,0
50,management,married,tertiary,0,0,1,0,0,5,1,0,0,0
30,blue-collar,single,primary,0,0,1,1,0,5,1,0,0,0
20,services,married,secondary,0,0,1,0,0,5,1,0,0,0
40,retired,married,primary,0,0,1,1,0,5,1,0,0,0
40,admin.,married,secondary,0,-1,1,0,0,5,1,0,0,0
30,management,single,tertiary,0,0,1,0,0,5,1,0,0,0
50,entrepreneur,married,secondary,0,0,1,1,0,5,1,0,0,0
40,management,single,secondary,0,-1,1,0,0,5,2,0,0,0
30,technician,single,secondary,0,0,1,1,0,5,1,0,0,0
50,technician,married,secondary,0,0,0,1,0,5,1,0,0,0
40,management,married,tertiary,0,0,1,0,0,5,1,0,0,0
60,admin.,married,secondary,0,0,1,1,0,5,1,0,0,0
50,blue-collar,married,secondary,0,0,1,0,0,5,1,0,0,0
50,management,married,tertiary,0,2,1,0,0,5,1,0,0,0
50,technician,divorced,secondary,0,0,1,0,0,5,1,0,0,0
20,blue-collar,married,secondary,0,-1,1,0,0,5,1,0,0,0
50,technician,married,secondary,0,-1,0,0,0,5,1,0,0,0
30,admin.,divorced,secondary,0,0,1,0,0,5,1,0,0,0
30,admin.,single,secondary,0,0,1,0,0,5,1,0,0,0
40,services,divorced,secondary,0,1,1,0,0,5,1,0,0,0
50,management,married,secondary,0,0,1,0,0,5,2,0,0,0
60,blue-collar,married,other,0,0,1,0,0,5,1,0,0,0
50,retired,married,secondary,0,0,1,0,0,5,1,0,0,0
50,retired,married,other,0,0,1,0,0,5,1,0,0,0
30,admin.,single,primary,0,-1,1,0,0,5,1,0,0,0
50,self-employed,married,tertiary,0,-1,1,0,0,5,1,0,0,0
40,technician,married,secondary,0,0,1,0,0,5,2,0,0,0
50,technician,divorced,secondary,0,0,0,0,0,5,1,0,0,0
20,management,single,tertiary,0,0,1,0,0,5,1,0,0,0
50,blue-collar,married,secondary,0,0,1,0,0,5,1,0,0,0
40,management,divorced,tertiary,0,-1,1,0,0,5,1,0,0,0
30,management,married,tertiary,0,0,1,0,0,5,1,0,0,0
40,admin.,single,secondary,0,-1,1,0,0,5,1,0,0,0
20,technician,single,secondary,0,-1,1,1,0,5,1,0,0,0
30,entrepreneur,single,tertiary,0,0,0,1,0,5,1,0,0,0
30,management,single,tertiary,0,0,1,0,0,5,1,0,0,0
40,blue-collar,married,other,0,0,1,0,0,5,1,0,0,0
40,blue-collar,single,other,0,0,1,0,0,5,1,0,0,0
40,services,married,primary,0,0,1,0,0,5,1,0,0,0
30,admin.,married,tertiary,0,0,1,0,0,5,1,0,0,0
50,technician,divorced,secondary,0,0,1,0,0,5,1,0,0,0
50,blue-collar,married,primary,0,0,1,0,0,5,1,0,0,0
30,services,married,secondary,0,0,1,0,0,5,1,0,0,0
40,blue-collar,married,other,0,0,1,0,0,5,1,0,0,0
50,management,married,tertiary,0,2,1,0,0,5,1,0,0,0
60,retired,married,tertiary,0,0,0,0,0,5,1,0,0,0
50,management,divorced,tertiary,0,0,1,0,0,5,1,0,0,0
50,technician,married,secondary,0,0,1,0,0,5,2,0,0,0
30,blue-collar,single,secondary,0,2,1,1,0,5,1,0,0,0
50,blue-collar,married,secondary,0,2,1,1,0,5,1,0,0,0
30,services,married,secondary,0,0,1,1,0,5,1,0,0,0
50,management,married,secondary,0,0,1,1,0,5,1,0,0,0
50,blue-collar,married,primary,0,0,1,0,0,5,1,0,0,0
40,technician,married,secondary,0,0,1,0,0,5,1,0,0,0
50,technician,married,secondary,0,0,1,0,0,5,1,0,0,0
40,blue-collar,married,secondary,0,0,0,1,0,5,1,0,0,0
50,services,divorced,secondary,0,0,0,0,0,5,1,0,0,0
40,services,divorced,secondary,0,0,1,1,0,5,1,0,0,0
50,services,divorced,secondary,1,0,1,0,0,5,1,0,0,0
40,admin.,single,secondary,0,0,1,0,0,5,1,0,0,0
40,services,divorced,secondary,0,0,0,0,0,5,1,0,0,0
40,technician,single,secondary,0,0,1,0,0,5,1,0,0,0
50,admin.,married,secondary,0,0,1,0,0,5,1,0,0,1
40,self-employed,married,tertiary,0,0,1,1,0,5,1,0,0,0
50,blue-collar,married,primary,0,0,1,0,0,5,2,0,0,0
50,admin.,married,secondary,0,0,0,0,0,5,1,0,0,1
